Loss,Time,Solver,Subset,p
3.7265748832329006e+23,0.13602972030639648,SGD,Test,252
2071.9393654252003,0.03573131561279297,Analytic,Train,252
12970154.978436185,0.03573131561279297,Analytic,Test,252
1.420211566478883e+20,0.3469724655151367,SGD,Train,252
5.268491260635996e+20,0.3469724655151367,SGD,Test,252
2071.9393654252003,0.029917478561401367,Analytic,Train,252
12970154.978436185,0.029917478561401367,Analytic,Test,252
1.3331592226213886e+24,0.12216305732727051,SGD,Train,252
1.3706626759733458e+24,0.12216305732727051,SGD,Test,252
2071.9393654252003,0.029683828353881836,Analytic,Train,252
12970154.978436185,0.029683828353881836,Analytic,Test,252
3.988107413033831e+19,0.3360598087310791,SGD,Train,252
3.9519578317588175e+20,0.3360598087310791,SGD,Test,252
2071.9393654252003,0.02936387062072754,Analytic,Train,252
12970154.978436185,0.02936387062072754,Analytic,Test,252
6.492187683980332e+23,0.12607049942016602,SGD,Train,252
6.917739606265165e+23,0.12607049942016602,SGD,Test,252
2071.9393654252003,0.030254125595092773,Analytic,Train,252
12970154.978436185,0.030254125595092773,Analytic,Test,252
1.4744893433619913e+20,0.3044164180755615,SGD,Train,252
5.360423804468045e+20,0.3044164180755615,SGD,Test,252
2071.9393654252003,0.04883861541748047,Analytic,Train,252
12970154.978436185,0.04883861541748047,Analytic,Test,252
4.403380809455716e+19,0.3075988292694092,SGD,Train,252
4.510850536041809e+20,0.3075988292694092,SGD,Test,252
2071.9393654252003,0.030250072479248047,Analytic,Train,252
12970154.978436185,0.030250072479248047,Analytic,Test,252
1.8835174011902712e+20,0.325089693069458,SGD,Train,252
4.724858196403887e+20,0.325089693069458,SGD,Test,252
2071.9393654252003,0.029493093490600586,Analytic,Train,252
12970154.978436185,0.029493093490600586,Analytic,Test,252
7.154070589861338e+19,0.33388352394104004,SGD,Train,252
4.332347399705175e+20,0.33388352394104004,SGD,Test,252
2071.9393654252003,0.029978513717651367,Analytic,Train,252
12970154.978436185,0.029978513717651367,Analytic,Test,252
1.234056540847217e+24,0.124420166015625,SGD,Train,252
1.199663643154355e+24,0.124420166015625,SGD,Test,252
2071.9393654252003,0.02978038787841797,Analytic,Train,252
12970154.978436185,0.02978038787841797,Analytic,Test,252
1.4883423916383142e+20,0.2487032413482666,SGD,Train,252
5.7672748555477746e+20,0.2487032413482666,SGD,Test,252
2071.9393654252003,0.030289173126220703,Analytic,Train,252
12970154.978436185,0.030289173126220703,Analytic,Test,252
3.6507718369049534e+19,0.3329305648803711,SGD,Train,252
3.6279147437466563e+20,0.3329305648803711,SGD,Test,252
2071.9393654252003,0.029910802841186523,Analytic,Train,252
12970154.978436185,0.029910802841186523,Analytic,Test,252
2.051815580734967e+20,0.2661271095275879,SGD,Train,252
4.6132000381675536e+20,0.2661271095275879,SGD,Test,252
2071.9393654252003,0.02962207794189453,Analytic,Train,252
12970154.978436185,0.02962207794189453,Analytic,Test,252
6.564189610246716e+23,0.18765592575073242,SGD,Train,252
6.228652976796048e+23,0.18765592575073242,SGD,Test,252
2071.9393654252003,0.04434323310852051,Analytic,Train,252
12970154.978436185,0.04434323310852051,Analytic,Test,252
1.9938007799700657e+24,0.13206982612609863,SGD,Train,252
1.9986182406915806e+24,0.13206982612609863,SGD,Test,252
2071.9393654252003,0.030787944793701172,Analytic,Train,252
12970154.978436185,0.030787944793701172,Analytic,Test,252
8.82822406834773e+22,0.26125097274780273,SGD,Train,502
8.795584780567041e+22,0.26125097274780273,SGD,Test,502
9.068979707113143e-20,0.11680412292480469,Analytic,Train,502
885156.0786472288,0.11680412292480469,Analytic,Test,502
8.753338356805113e+23,0.2268381118774414,SGD,Train,502
8.400463170817866e+23,0.2268381118774414,SGD,Test,502
9.068979707113143e-20,0.11965060234069824,Analytic,Train,502
885156.0786472288,0.11965060234069824,Analytic,Test,502
2.158261179596697e+18,0.6743974685668945,SGD,Train,502
8.153216560647436e+18,0.6743974685668945,SGD,Test,502
9.068979707113143e-20,0.11823415756225586,Analytic,Train,502
885156.0786472288,0.11823415756225586,Analytic,Test,502
2.3277216625070825e+19,0.6020858287811279,SGD,Train,502
4.0707937847159366e+19,0.6020858287811279,SGD,Test,502
9.068979707113143e-20,0.14332985877990723,Analytic,Train,502
885156.0786472288,0.14332985877990723,Analytic,Test,502
1.026855359806208e+24,0.20436573028564453,SGD,Train,502
1.0278831874700229e+24,0.20436573028564453,SGD,Test,502
9.068979707113143e-20,0.12706255912780762,Analytic,Train,502
